Time,Currency,Impact,Event,Actual,Forecast
7:30am,USD,High Impact Expected,Core CPI m/m,,0.3%
7:30am,USD,High Impact Expected,CPI m/m,,0.6%
7:30am,USD,High Impact Expected,CPI y/y,,3.7%
Tentative,USD,High Impact Expected,Fed Chair Nomination Vote,,Pass
7:30am,USD,High Impact Expected,Core PPI m/m,,0.3%
7:30am,USD,High Impact Expected,PPI m/m,,0.5%
7:30am,USD,High Impact Expected,Core Retail Sales m/m,,0.6%
7:30am,USD,High Impact Expected,Retail Sales m/m,,0.6%
